title,brand,product name,keywords,new_price,old_price,discount,shades,rating_count,review_count,weight,weight_ml,weight_g,item,subitem,rating
STAZE 9to9 Gloss Lock 2-In-1 Liquid Lipstick,STAZE,9to9 Gloss Lock 2-In-1 Liquid Lipstick,,399,499,0.20,6,1962,491,8.2ml,8.2,,Liquid Lipstick,Lips,4.4
"Maybelline New York Fit Me Matte + Poreless Pressed Powder, ...",Maybelline,"New York Fit Me Matte + Poreless Pressed Powder, ...",AD,462,577,0.20,9,348080,3254,8.5gms,,8.5,Compact,Face,4.5
Nykaa Matte-illicious Transferproof Lip Crayon Lipstick with...,Nykaa,Matte-illicious Transferproof Lip Crayon Lipstick with...,,479,799,0.40,8,341461,3663,2.8g,,2.8,Lip Crayon,Lips,4.4
MARS SPF50 PA++++ High Coverage Liquid Foundation,MARS,SPF50 PA++++ High Coverage Liquid Foundation,,360,379,0.05,10,11286,1162,40ml,40,,Foundation,Face,4.3
Kay Beauty Creme Blush,Kay,Beauty Creme Blush,,764,899,0.15,5,156924,1825,10ml,10,,Blush,Face,4.4
Lakme Double Duty Lip & Cheek Mousse Matte Lipstick & Soft B...,Lakme,Double Duty Lip & Cheek Mousse Matte Lipstick & Soft B...,AD,639,799,0.20,9,1116213,8570,9g,,9,Liquid Lipstick,Lips,4.2
"Swiss Beauty Pure Matte Lipstick , Non-Drying, Smooth Glide,...",Swiss,"Beauty Pure Matte Lipstick , Non-Drying, Smooth Glide,...",,211,229,0.08,30,1200189,3463,3.8g,,3.8,Lipstick,Lips,4.3
Nykaa Cosmetics All Day Matte Long Wear Liquid Foundation Wi...,Nykaa,Cosmetics All Day Matte Long Wear Liquid Foundation Wi...,,389,649,0.40,15,217165,869,30ml,30,,Foundation,Face,4.3
Urban Decay All Nighter Waterproof Makeup Setting Spray,Urban,Decay All Nighter Waterproof Makeup Setting Spray,,1650,,,,4130,205,30ml,30,,Setting Spray,Face,4.5
Faces Canada All Day Hydra Matte Mini - 3 In 1 Foundation + ...,Faces,Canada All Day Hydra Matte Mini - 3 In 1 Foundation + ...,AD,289,325,0.11,6,3020,109,18ml,18,,Foundation,Face,4.1
MARS Ink Black Eyeliner,MARS,Ink Black Eyeliner,,248,279,0.11,,5717,497,1ml,1,,Eyeliner,Eyes,4.4
Nykaa Cosmetics Prep Me Up! Face Primer,Nykaa,Cosmetics Prep Me Up! Face Primer,,402,619,0.35,,230392,5145,30g,,30,Face Primer,Face,4.4
e.l.f. Cosmetics Power Grip Primer,e.l.f.,Cosmetics Power Grip Primer,BEST IN BEAUTY,1300,,,,2586,376,24ml,24,,Face Primer,Face,4.5
Ruby's Organics Onestick,Ruby's,Organics Onestick,"AD
NEW",587,690,0.15,8,63,46,1g,,1,Lip Crayon,Lips,4.7
MARS Fabulash Mascara,MARS,Fabulash Mascara,,219,249,0.12,,21596,1466,12ml,12,,Mascara,Eyes,4.4
Faces Canada Comfy Matte Wow Liquid Lipstick,Faces,Canada Comfy Matte Wow Liquid Lipstick,,249,299,0.17,11,2465,520,3.8ml,3.8,,Liquid Lipstick,Lips,4.4
Charlotte Tilbury Hollywood Flawless Filter Mini,Charlotte,Tilbury Hollywood Flawless Filter Mini,,2000,,,4,3533,439,5.5ml,5.5,,Contour,Face,4.4
"Lakme 9 to 5 Eyeconic Kajal, Waterproof, Smudgeproof, lasts ...",Lakme,"9 to 5 Eyeconic Kajal, Waterproof, Smudgeproof, lasts ...",,214,225,0.05,6,549409,4981,0.35gm,,0.35,Kajal,Eyes,4.4
M.A.C MACximal Satin Mini Lipstick,M.A.C,MACximal Satin Mini Lipstick,,1150,,,6,48310,380,1.8g,,1.8,Lipstick,Lips,4.5
MARS Creamy Matte Lipstick,MARS,Creamy Matte Lipstick,,189,199,0.05,24,27177,2215,3.2 g,,3.2,Lipstick,Lips,4.3
Nykaa Superlight Lip Cloud Airy Mousse Matte Liquid Lipstick...,Nykaa,Superlight Lip Cloud Airy Mousse Matte Liquid Lipstick...,,599,799,0.25,10,699,232,5ml,5,,Liquid Lipstick,Lips,4.4
Kay Beauty Velvet Dream Multi-Use Blush,Kay,Beauty Velvet Dream Multi-Use Blush,,1079,1199,0.10,4,1100,222,4.4g,,4.4,Blush,Face,4.6
Lakme Eyeconic Kajal Deep Black Twist Up Pencil & Matte Fini...,Lakme,Eyeconic Kajal Deep Black Twist Up Pencil & Matte Fini...,,357,420,0.15,,33065,953,0.7gm,,0.7,Kajal,Eyes,4.5
"Maybelline New York Fit Me Primer, Oil free and Non Comedoge...",Maybelline,"New York Fit Me Primer, Oil free and Non Comedoge...",,495,619,0.20,2,58450,1663,30ml,30,,Face Primer,Face,4.4
MARS Ink Black Eyeliner,MARS,Ink Black Eyeliner,,248,279,0.11,,5717,497,1ml,1,,Eyeliner,Eyes,4.4
Daily Life Forever52 Complete Coverage Concealer,Daily,Life Forever52 Complete Coverage Concealer,,539,599,0.10,11,26096,663,10gm,,10,Concealer,Face,4.4
Nykaa Cosmetics Stardust Dual Chrome Eyeliner with Holograph...,Nykaa,Cosmetics Stardust Dual Chrome Eyeliner with Holograph...,,424,499,0.15,6,1234,193,1.6ml,1.6,,Eyeliner,Eyes,4.3
Kay Beauty Multi Texture Eyeshadow Palette,Kay,Beauty Multi Texture Eyeshadow Palette,,1849,,,4,1379,201,15g,,15,Eye Shadow,Eyes,4.6
"Insight Cosmetics Pro Concealer Palette, 3 In 1 Conceal,Cont...",Insight,"Cosmetics Pro Concealer Palette, 3 In 1 Conceal,Cont...",,242,255,0.05,,36667,2169,15gm,,15,Concealer,Face,4.4
